time	V(out1)-V(out2)	I(V5)
7.257185209157034e-008	-1.137228e-005	2.440648e-001
7.314050528055189e-008	-1.676672e-005	2.440571e-001
7.379352555006116e-008	-2.446859e-005	2.440476e-001
7.447848132656341e-008	-3.305785e-005	2.440372e-001
7.525130336371079e-008	-4.265609e-005	2.440247e-001
7.679694743800553e-008	-6.124103e-005	2.439983e-001
7.916799778686488e-008	-8.858840e-005	2.439558e-001
8.139809124248024e-008	-1.134469e-004	2.439140e-001
8.353069799572881e-008	-1.371849e-004	2.438731e-001
8.428691909216111e-008	-1.452843e-004	2.438584e-001
8.475217301958847e-008	-1.471773e-004	2.438492e-001
8.508291249162836e-008	-1.405694e-004	2.438427e-001
8.546751041353111e-008	-1.174807e-004	2.438352e-001
8.589549725952312e-008	-6.755831e-005	2.438267e-001
8.663222578272794e-008	7.461372e-005	2.438120e-001
8.757809766301260e-008	3.399863e-004	2.437929e-001
8.864429609099118e-008	7.276746e-004	2.437701e-001
8.983718118326309e-008	1.236443e-003	2.437389e-001
9.135512830055499e-008	1.942925e-003	2.436642e-001
9.347893061789967e-008	2.967293e-003	2.434541e-001
9.548089310554248e-008	3.940529e-003	2.431597e-001
9.725750850372397e-008	4.804656e-003	2.428546e-001
9.931959902008226e-008	5.807530e-003	2.419860e-001
1.013327796108624e-007	6.786362e-003	2.383546e-001
1.032958418568946e-007	7.740496e-003	2.334764e-001
1.056722125795575e-007	8.895071e-003	2.313833e-001
1.078628627777345e-007	9.958922e-003	2.319100e-001
1.110696757938967e-007	1.151544e-002	2.337411e-001
1.140789190543290e-007	1.297528e-002	3.111915e-001
1.163664445394307e-007	1.408448e-002	4.953602e-001
1.172564351020767e-007	1.451588e-002	5.821128e-001
1.181337400173355e-007	1.494101e-002	6.422966e-001
1.192941424401118e-007	1.550322e-002	6.905575e-001
1.203819989124655e-007	1.603014e-002	7.150584e-001
1.214179055096622e-007	1.653175e-002	7.248808e-001
1.226689028337786e-007	1.713728e-002	7.279165e-001
1.238726733646611e-007	1.771964e-002	7.282603e-001
1.253924079757209e-007	1.845435e-002	7.283547e-001
1.270003458579551e-007	1.923105e-002	7.283958e-001
1.288765661795926e-007	2.013629e-002	7.284089e-001
1.301601484656584e-007	2.075380e-002	7.283636e-001
1.315236785030854e-007	2.140598e-002	7.282787e-001
1.325318044940512e-007	2.188454e-002	7.282121e-001
1.331753140123735e-007	2.218815e-002	7.281674e-001
1.338396282708518e-007	2.250085e-002	7.281199e-001
1.345558521872120e-007	2.283798e-002	7.280684e-001
1.352720814854608e-007	2.317521e-002	7.280161e-001
1.360518233259541e-007	2.354245e-002	7.279582e-001
1.368681603006802e-007	2.392705e-002	7.278969e-001
1.377448849943895e-007	2.434023e-002	7.278304e-001
1.386944962724417e-007	2.478786e-002	7.277577e-001
1.397194924209274e-007	2.527111e-002	7.276790e-001
1.397370858974891e-007	2.527940e-002	7.276776e-001
1.397722728506125e-007	2.529599e-002	7.276750e-001
1.398079346844239e-007	2.531281e-002	7.276722e-001
1.398493770417259e-007	2.533235e-002	7.276690e-001
1.399322617563298e-007	2.537144e-002	7.276627e-001
1.400980311855377e-007	2.544961e-002	7.276499e-001
1.402078317136656e-007	2.550139e-002	7.276415e-001
1.403256158798504e-007	2.555693e-002	7.276325e-001
1.403971047917606e-007	2.559065e-002	7.276270e-001
1.404655232702975e-007	2.562292e-002	7.276217e-001
1.405261459558583e-007	2.565151e-002	7.276171e-001
1.405860594034720e-007	2.567977e-002	7.276124e-001
1.406604776967521e-007	2.571488e-002	7.276065e-001
1.407294070001455e-007	2.574741e-002	7.276012e-001
1.408217278132625e-007	2.579099e-002	7.275940e-001
1.409505087254130e-007	2.585180e-002	7.275839e-001
1.411334456135564e-007	2.593823e-002	7.275696e-001
1.411895708160721e-007	2.596475e-002	7.275652e-001
1.411937022289455e-007	2.596671e-002	7.275649e-001
1.412019650546924e-007	2.597061e-002	7.275642e-001
1.412184907061861e-007	2.597843e-002	7.275629e-001
1.412515420091736e-007	2.599405e-002	7.275603e-001
1.412960685589422e-007	2.601511e-002	7.275569e-001
1.413851216584793e-007	2.605723e-002	7.275499e-001
1.415632278575535e-007	2.614153e-002	7.275360e-001
1.419194402557018e-007	2.631031e-002	7.275081e-001
1.426318650519985e-007	2.664848e-002	7.274524e-001
1.434207665356841e-007	2.702355e-002	7.273907e-001
1.434338576360208e-007	2.702979e-002	7.273897e-001
1.434600398366941e-007	2.704226e-002	7.273877e-001
1.435124042380408e-007	2.706730e-002	7.273836e-001
1.436171330407341e-007	2.711820e-002	7.273753e-001
1.438265906461207e-007	2.722198e-002	7.273588e-001
1.438331361962890e-007	2.722528e-002	7.273583e-001
1.438462272966257e-007	2.723199e-002	7.273572e-001
1.438724094972990e-007	2.724547e-002	7.273552e-001
1.439247738986457e-007	2.727272e-002	7.273510e-001
1.440295027013390e-007	2.732788e-002	7.273428e-001
1.440556849020123e-007	2.734185e-002	7.273407e-001
1.441080493033590e-007	2.737022e-002	7.273366e-001
1.442127781060523e-007	2.742810e-002	7.273283e-001
1.444222357114389e-007	2.754858e-002	7.273117e-001
1.448411509222122e-007	2.780296e-002	7.272787e-001
1.452294775084715e-007	2.805572e-002	7.272480e-001
1.457384054573959e-007	2.841337e-002	7.272078e-001
1.462669421388025e-007	2.881350e-002	7.271658e-001
1.469088881513847e-007	2.933453e-002	7.271146e-001
1.475671110339069e-007	2.989939e-002	7.270615e-001
1.481534855613686e-007	3.042316e-002	7.270133e-001
1.486454299565608e-007	3.087443e-002	7.269714e-001
1.491429019150535e-007	3.133902e-002	7.269264e-001
1.496412941041958e-007	3.181035e-002	7.268766e-001
1.502424524003800e-007	3.238395e-002	7.268078e-001
1.507741283790933e-007	3.289422e-002	7.267394e-001
1.512034426628673e-007	3.330761e-002	7.266784e-001
1.516336581279153e-007	3.372237e-002	7.266141e-001
1.521042849232762e-007	3.417626e-002	7.265360e-001
1.525495974609648e-007	3.460580e-002	7.264479e-001
1.530054658403586e-007	3.504554e-002	7.263494e-001
1.534524446147632e-007	3.547672e-002	7.262498e-001
1.539034167033772e-007	3.591174e-002	7.261459e-001
1.543534052617358e-007	3.634579e-002	7.260408e-001
1.548089448296123e-007	3.678517e-002	7.259348e-001
1.552696844229393e-007	3.722954e-002	7.258279e-001
1.557408447646480e-007	3.768394e-002	7.257195e-001
1.562254804349696e-007	3.815131e-002	7.256055e-001
1.567311507404168e-007	3.863894e-002	7.254785e-001
1.572681073318897e-007	3.915671e-002	7.253371e-001
1.578575526080633e-007	3.972505e-002	7.251390e-001
1.585473997048171e-007	4.039013e-002	7.247053e-001
1.593013326844260e-007	4.111693e-002	7.238197e-001
1.598556212710896e-007	4.165120e-002	7.228188e-001
1.599280634820022e-007	4.172103e-002	7.226303e-001
1.600729479038274e-007	4.186067e-002	7.221820e-001
1.602389001335870e-007	4.202060e-002	7.216685e-001
1.602803881910269e-007	4.206059e-002	7.215399e-001
1.602907602053869e-007	4.207058e-002	7.215077e-001
1.603115042341068e-007	4.209057e-002	7.214429e-001
1.603529922915467e-007	4.213056e-002	7.213131e-001
1.604137555103508e-007	4.218912e-002	7.211226e-001
1.604964706849416e-007	4.226883e-002	7.208633e-001
1.605295567547779e-007	4.230071e-002	7.207596e-001
1.606453579992049e-007	4.241231e-002	7.203966e-001
1.607611592436319e-007	4.252390e-002	7.200338e-001
1.608852320055180e-007	4.264346e-002	7.196451e-001
1.609431326277315e-007	4.269925e-002	7.194638e-001
1.609596756626496e-007	4.271519e-002	7.194082e-001
1.610010332499450e-007	4.275504e-002	7.192453e-001
1.610175762848632e-007	4.277098e-002	7.191659e-001
1.610754769070767e-007	4.282678e-002	7.188879e-001
1.611168344943720e-007	4.286663e-002	7.186893e-001
1.611333775292902e-007	4.288257e-002	7.186099e-001
1.611747351165855e-007	4.292242e-002	7.184114e-001
1.611912781515037e-007	4.293836e-002	7.183320e-001
1.612326357387991e-007	4.297821e-002	7.181335e-001
1.612491787737172e-007	4.299415e-002	7.180541e-001
1.612822648435535e-007	4.302603e-002	7.178953e-001
1.612905363610126e-007	4.303400e-002	7.178556e-001
1.613070793959307e-007	4.304994e-002	7.177762e-001
1.613401654657670e-007	4.308182e-002	7.176175e-001
1.613484369832261e-007	4.308979e-002	7.175778e-001
1.613649800181442e-007	4.310573e-002	7.174984e-001
1.614063376054396e-007	4.314557e-002	7.173000e-001
1.614228806403577e-007	4.316151e-002	7.172207e-001
1.614642382276531e-007	4.320136e-002	7.170222e-001
1.614807812625712e-007	4.321730e-002	7.169429e-001
1.615221388498666e-007	4.325715e-002	7.167445e-001
1.615386818847847e-007	4.327309e-002	7.166651e-001
1.615800394720801e-007	4.331294e-002	7.164668e-001
1.615965825069983e-007	4.332888e-002	7.163875e-001
1.616379400942936e-007	4.336872e-002	7.161891e-001
1.616544831292118e-007	4.338466e-002	7.161099e-001
1.616958407165071e-007	4.342451e-002	7.159116e-001
1.617123837514253e-007	4.344044e-002	7.158322e-001
1.617537413387206e-007	4.348029e-002	7.156340e-001
1.617702843736388e-007	4.349623e-002	7.155547e-001
1.618116419609341e-007	4.353607e-002	7.153565e-001
1.618695425831477e-007	4.359185e-002	7.150790e-001
1.618984928942544e-007	4.361974e-002	7.149402e-001
1.619770723101156e-007	4.369545e-002	7.145638e-001
1.619853438275747e-007	4.370342e-002	7.145324e-001
1.620018868624929e-007	4.371936e-002	7.144952e-001
1.620060226212224e-007	4.372334e-002	7.144886e-001
1.620142941386815e-007	4.373131e-002	7.144764e-001
1.620834203917324e-007	4.379790e-002	7.143743e-001
1.621525466447832e-007	4.386450e-002	7.142722e-001
1.622216728978341e-007	4.393109e-002	7.141703e-001
1.622907991508849e-007	4.399768e-002	7.140685e-001
1.623599254039358e-007	4.406427e-002	7.139667e-001
1.624290516569866e-007	4.413086e-002	7.138650e-001
1.624981779100375e-007	4.419745e-002	7.137635e-001
1.626222506719236e-007	4.431696e-002	7.135838e-001
1.626429294655713e-007	4.433688e-002	7.135729e-001
1.626647899045703e-007	4.435794e-002	7.135788e-001
1.626866503435693e-007	4.437900e-002	7.135848e-001
1.627085107825683e-007	4.440005e-002	7.135907e-001
1.627303712215673e-007	4.442111e-002	7.135967e-001
1.627522316605663e-007	4.444217e-002	7.136027e-001
1.627740920995652e-007	4.446323e-002	7.136087e-001
1.627959525385642e-007	4.448428e-002	7.136148e-001
1.628124955734824e-007	4.450021e-002	7.136192e-001
1.628455816433187e-007	4.453209e-002	7.136276e-001
1.629056949045255e-007	4.458998e-002	7.136415e-001
1.629640120787856e-007	4.464616e-002	7.136542e-001
1.630316995050949e-007	4.471135e-002	7.136688e-001
1.631202699851267e-007	4.479666e-002	7.136878e-001
1.632374211634475e-007	4.490949e-002	7.137126e-001
1.634122519584913e-007	4.507787e-002	7.137493e-001
1.636830289119871e-007	4.533865e-002	7.138054e-001
1.640819342611796e-007	4.572279e-002	7.138867e-001
1.644706701637560e-007	4.609710e-002	7.139645e-001
1.648877772845791e-007	4.649870e-002	7.140462e-001
1.653381968396415e-007	4.693233e-002	7.141317e-001
1.659715797924327e-007	4.754203e-002	7.142462e-001
1.665902138740920e-007	4.813746e-002	7.143491e-001
1.672361540604337e-007	4.875909e-002	7.144420e-001
1.678297286179221e-007	4.933024e-002	7.145039e-001
1.684886201316702e-007	4.996416e-002	7.145295e-001
1.690011670518831e-007	5.045722e-002	7.144914e-001
1.694186015668444e-007	5.085874e-002	7.143799e-001
1.697784243820233e-007	5.120482e-002	7.141711e-001
1.700965816108008e-007	5.151080e-002	7.138621e-001
1.703803022452534e-007	5.178364e-002	7.134809e-001
1.706263537926068e-007	5.202024e-002	7.129645e-001
1.708964315617890e-007	5.227993e-002	7.120518e-001
1.711648542454353e-007	5.253802e-002	7.108581e-001
1.714678944315776e-007	5.282937e-002	7.093591e-001
1.718152054296142e-007	5.316325e-002	7.075285e-001
1.725098274256875e-007	5.383093e-002	7.117558e-001
1.733053029930155e-007	5.459545e-002	7.473337e-001
1.741684408611984e-007	5.542483e-002	8.214657e-001
1.752534912900161e-007	5.646720e-002	9.170091e-001
1.768090560134912e-007	5.796114e-002	1.000442e+000
1.784915528850021e-007	5.957645e-002	1.019324e+000
1.798938197451862e-007	6.092221e-002	9.960572e-001
1.813747073535382e-007	6.234293e-002	9.611219e-001
1.817213112131787e-007	6.267536e-002	9.563735e-001
1.819496297915060e-007	6.289431e-002	9.559131e-001
1.820619310448250e-007	6.300200e-002	9.559619e-001
1.822059367250485e-007	6.314007e-002	9.560035e-001
1.824212978982450e-007	6.334655e-002	9.561040e-001
1.827719010409199e-007	6.368266e-002	9.563240e-001
1.831624793835376e-007	6.405705e-002	9.566360e-001
1.835985545952330e-007	6.447498e-002	9.570127e-001
1.839918222552978e-007	6.485181e-002	9.573551e-001
1.843649881406113e-007	6.520931e-002	9.577054e-001
1.846822131138922e-007	6.551316e-002	9.580356e-001
1.849906922445760e-007	6.580859e-002	9.583826e-001
1.852276596979495e-007	6.603549e-002	9.586694e-001
1.853652060564486e-007	6.616718e-002	9.588593e-001
1.854636778371868e-007	6.626146e-002	9.590328e-001
1.855431513015422e-007	6.633754e-002	9.592353e-001
1.856212782360637e-007	6.641233e-002	9.595523e-001
1.857094237555618e-007	6.649670e-002	9.600983e-001
1.857943941490035e-007	6.657804e-002	9.607779e-001
1.858418062737180e-007	6.662341e-002	9.611805e-001
1.858930073622659e-007	6.667242e-002	9.615654e-001
1.859601034455373e-007	6.673664e-002	9.619471e-001
1.860301281566162e-007	6.680366e-002	9.622185e-001
1.860661163689428e-007	6.683811e-002	9.623054e-001
1.861019783534100e-007	6.687242e-002	9.623567e-001
1.861509269961259e-007	6.691926e-002	9.624003e-001
1.861927672747865e-007	6.695931e-002	9.624217e-001
1.862399373400214e-007	6.700444e-002	9.624336e-001
1.862900424208600e-007	6.705239e-002	9.624388e-001
1.863437698418742e-007	6.710380e-002	9.624398e-001
1.864091877893937e-007	6.716639e-002	9.624377e-001
1.864849548493998e-007	6.723890e-002	9.624332e-001
1.866036336695583e-007	6.735244e-002	9.624239e-001
1.867286217650659e-007	6.747202e-002	9.624127e-001
1.869524192762837e-007	6.768610e-002	9.623907e-001
1.871874106030386e-007	6.791087e-002	9.623665e-001
1.874803859827551e-007	6.819105e-002	9.623356e-001
1.877659876642189e-007	6.846414e-002	9.623064e-001
1.881237063531616e-007	6.880614e-002	9.622725e-001
1.884899909388472e-007	6.915625e-002	9.622394e-001
1.888406571615996e-007	6.949131e-002	9.622027e-001
1.892151800287694e-007	6.984895e-002	9.621541e-001
1.895720341225530e-007	7.018939e-002	9.621045e-001
1.899224183451181e-007	7.052326e-002	9.620563e-001
1.902743357670324e-007	7.085811e-002	9.620086e-001
1.906106679039308e-007	7.117765e-002	9.619637e-001
1.910028247708044e-007	7.154965e-002	9.619118e-001
1.914112756348470e-007	7.193653e-002	9.618573e-001
1.919707352214807e-007	7.246583e-002	9.617812e-001
1.925257953319326e-007	7.299071e-002	9.617049e-001
1.933919293300176e-007	7.380958e-002	9.615864e-001
1.942901214351711e-007	7.465862e-002	9.614643e-001
1.955075713501095e-007	7.580925e-002	9.612998e-001
1.968635845981294e-007	7.709049e-002	9.611176e-001
1.986577888380624e-007	7.878309e-002	9.608766e-001
2.005882774023127e-007	8.059698e-002	9.606157e-001
2.024857796692094e-007	8.240492e-002	9.603570e-001
2.042865612003041e-007	8.423262e-002	9.601101e-001
2.061411468344097e-007	8.626012e-002	9.598530e-001
2.079199300101269e-007	8.823491e-002	9.595867e-001
2.096424402442933e-007	9.004959e-002	9.592697e-001
2.114561300021526e-007	9.183116e-002	9.588450e-001
2.131197980627925e-007	9.340256e-002	9.583243e-001
2.149140398006019e-007	9.508569e-002	9.575984e-001
2.167103819207920e-007	9.677787e-002	9.566800e-001
2.184766138853402e-007	9.844641e-002	9.541606e-001
2.206737204938910e-007	1.005228e-001	9.492758e-001
2.227362224297391e-007	1.024709e-001	9.466676e-001
2.256385229412313e-007	1.052103e-001	9.456784e-001
2.283530475161272e-007	1.077704e-001	9.545202e-001
2.326949529315742e-007	1.118611e-001	9.939811e-001
2.382563945358856e-007	1.170940e-001	1.011685e+000
2.435836518079549e-007	1.220996e-001	9.537160e-001
2.449632226599050e-007	1.233938e-001	9.438517e-001
2.468937985469128e-007	1.252023e-001	9.474687e-001
2.482332272106046e-007	1.264540e-001	9.481859e-001
2.500000000000000e-007	1.281006e-001	9.478595e-001
2.501766772789395e-007	1.282645e-001	9.478274e-001
2.504872161897939e-007	1.285524e-001	9.477716e-001
